Source,Target
8933,ID55097399
8933,ID35740158
8933,ID22218713
9129,ID99361449
9129,ID70151377
9129,ID33856459
9129,ID05664135
9129,ID11379118
10014,ID51750235
10014,ID60027318
10014,ID51497247
10014,ID62187125
10014,ID74181626
10069,ID52859640
10069,ID87110947
10069,ID81804601
10069,ID78457740
10069,ID16188193
10990,ID27297731
10990,ID41310762
10990,ID59841543
10990,ID87345463
10990,ID07329981
11081,ID31676821
11081,ID99070726
11081,ID58956929
11081,ID74073899
11081,ID72290787
11165,ID29005433
11165,ID54943417
11165,ID51239129
11165,ID27702944
11165,ID41315577
11821,ID62878800
11821,ID56130640
11821,ID88496973
11821,ID31206299
11821,ID25104170
11914,ID57978417
11914,ID06843835
11914,ID01334000
11914,ID29015682
11914,ID28040165
12019,ID73353411
12019,ID22601337
12019,ID95990202
